episode_id,seed,task_id,step,day,hour,weather,battery_level,solar_output,wind_output,generation,grid_price,home_demand,rule_action,rule_action_name,rule_reward,optimal_action,optimal_action_name,optimal_reward,reward_gap
1,0,1,1,1,0,sunny,50.0,0.28,5.21,5.49,2.62,3.13,0,STORE,0.02,0,STORE,0.02,0.0
2,0,2,1,1,0,sunny,50.0,0.05,3.44,3.49,3.31,3.34,0,STORE,0.02,0,STORE,0.02,0.0
2,0,2,2,1,1,sunny,53.49,0.13,2.85,2.98,3.18,3.07,1,DISTRIBUTE,-0.007,1,DISTRIBUTE,-0.007,0.0
2,0,2,3,1,2,cloudy,53.49,0.32,7.21,7.53,3.01,4.72,0,STORE,0.02,0,STORE,0.02,0.0
2,0,2,4,1,3,sunny,61.02,0.27,3.78,4.05,2.54,3.54,0,STORE,0.02,0,STORE,0.02,0.0
2,0,2,5,1,4,sunny,65.07,0.18,5.73,5.91,2.92,4.82,0,STORE,0.02,0,STORE,0.02,0.0
2,0,2,6,1,5,cloudy,70.98,0.08,4.71,4.79,2.68,3.46,0,STORE,0.02,0,STORE,0.02,0.0
2,0,2,7,1,6,sunny,75.77,0.07,4.04,4.11,6.17,8.0,1,DISTRIBUTE,-1.147,1,DISTRIBUTE,-1.147,0.0
2,0,2,8,1,7,sunny,75.77,4.38,3.78,8.16,6.03,11.83,1,DISTRIBUTE,-1.081,1,DISTRIBUTE,-1.081,0.0
2,0,2,9,1,8,sunny,75.77,7.89,3.42,11.31,6.46,12.96,1,DISTRIBUTE,-0.475,1,DISTRIBUTE,-0.475,0.0
2,0,2,10,1,9,sunny,75.77,11.08,3.6,14.68,6.15,12.48,0,STORE,0.02,0,STORE,0.02,0.0
2,0,2,11,1,10,sunny,90.45,13.24,5.7,18.94,5.33,7.0,0,STORE,-0.4695,0,STORE,-0.4695,0.0
2,0,2,12,1,11,sunny,100,14.82,3.82,18.64,4.85,7.81,0,STORE,-0.932,0,STORE,-0.932,0.0
2,0,2,13,1,12,cloudy,100,4.86,5.95,10.81,4.82,6.44,0,STORE,-0.5405,0,STORE,-0.5405,0.0
2,0,2,14,1,13,sunny,100,14.93,4.47,19.4,4.98,7.55,0,STORE,-0.97,0,STORE,-0.97,0.0
2,0,2,15,1,14,sunny,100,13.47,4.82,18.29,5.02,7.01,0,STORE,-0.9145,0,STORE,-0.9145,0.0
2,0,2,16,1,15,cloudy,100,3.48,5.25,8.73,5.01,6.42,0,STORE,-0.4365,0,STORE,-0.4365,0.0
2,0,2,17,1,16,cloudy,100,2.69,7.14,9.83,4.51,6.68,0,STORE,-0.4915,0,STORE,-0.4915,0.0
2,0,2,18,1,17,sunny,100,4.38,2.42,6.8,11.55,7.15,2,SELL,0.7854,2,SELL,0.7854,0.0
2,0,2,19,1,18,cloudy,92.85,0.11,7.5,7.61,12.02,11.21,2,SELL,0.9147,2,SELL,0.9147,0.0
2,0,2,20,1,19,sunny,81.64,0.12,2.84,2.96,11.92,12.76,2,SELL,0.3528,2,SELL,0.3528,0.0
2,0,2,21,1,20,sunny,68.88,0.03,3.44,3.47,11.52,11.5,2,SELL,0.4197,2,SELL,0.4197,0.0
2,0,2,22,1,21,sunny,57.38,0.48,2.1,2.58,6.52,12.46,1,DISTRIBUTE,-2.944,1,DISTRIBUTE,-2.944,0.0
2,0,2,23,1,22,sunny,57.38,0.06,5.74,5.8,7.02,7.47,1,DISTRIBUTE,-0.481,1,DISTRIBUTE,-0.481,0.0
2,0,2,24,1,23,sunny,57.38,0.19,2.17,2.36,6.65,7.98,1,DISTRIBUTE,-1.666,1,DISTRIBUTE,-1.666,0.0
3,0,3,1,1,0,sunny,50.0,0.12,4.18,4.3,3.1,3.74,0,STORE,0.02,0,STORE,0.02,0.0
3,0,3,2,1,1,sunny,54.3,0.31,2.26,2.57,3.34,3.03,1,DISTRIBUTE,-0.118,1,DISTRIBUTE,-0.118,0.0
3,0,3,3,1,2,sunny,54.3,0.13,2.94,3.07,2.97,4.99,1,DISTRIBUTE,-0.556,1,DISTRIBUTE,-0.556,0.0
3,0,3,4,1,3,sunny,54.3,0.42,3.91,4.33,2.65,4.28,0,STORE,0.02,0,STORE,0.02,0.0
3,0,3,5,1,4,sunny,58.63,0.32,5.47,5.79,3.24,4.05,0,STORE,0.02,0,STORE,0.02,0.0
3,0,3,6,1,5,sunny,64.42,0.34,2.26,2.6,3.09,4.52,1,DISTRIBUTE,-0.556,1,DISTRIBUTE,-0.556,0.0
3,0,3,7,1,6,sunny,64.42,0.15,2.12,2.27,5.97,7.73,1,DISTRIBUTE,-1.618,1,DISTRIBUTE,-1.618,0.0
3,0,3,8,1,7,sunny,64.42,4.24,5.52,9.76,6.42,12.43,1,DISTRIBUTE,-0.781,1,DISTRIBUTE,-0.781,0.0
3,0,3,9,1,8,sunny,64.42,7.7,5.2,12.9,6.44,11.89,0,STORE,0.02,0,STORE,0.02,0.0
3,0,3,10,1,9,sunny,77.32,11.05,2.39,13.44,5.72,11.27,0,STORE,0.02,0,STORE,0.02,0.0
3,0,3,11,1,10,sunny,90.76,13.47,3.74,17.21,4.8,7.25,0,STORE,-0.3985,0,STORE,-0.3985,0.0
3,0,3,12,1,11,sunny,100,14.74,3.54,18.28,5.09,6.7,0,STORE,-0.914,0,STORE,-0.914,0.0
3,0,3,13,1,12,sunny,100,15.29,5.62,20.91,5.43,7.36,0,STORE,-1.0455,0,STORE,-1.0455,0.0
3,0,3,14,1,13,sunny,100,14.92,5.96,20.88,4.66,7.34,0,STORE,-1.044,0,STORE,-1.044,0.0
